ID,Severity,CWE,Type,Tool,Location,Path,FileName,Line,Status
135,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,59,Escalated
136,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,144,Escalated
137,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,69,Escalated
138,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,33,Escalated
139,Info,,A leading decimal point can be confused with a dot,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,29,False Positive
140,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,95,Escalated
141,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,11,Escalated
142,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,131,Escalated
143,Info,,Function already defined,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,150,False Positive
144,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,78,Escalated
145,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,72,Escalated
146,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,90,Escalated
147,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,41,Escalated
148,Info,398,Undeclared variables are global by default,PMD,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,153,False Positive
